AR-DRG V10.0,description,bool_same_day_payment_list,bool_bundled_icu,alos,inlier_lb,inlier_ub,adj_private_patient_service,adj_paediatric,pwt_sameday,pwt_shortstay_outlierbase,pwt_shortstay_outlier_perdiem,pwt_inlier,pwt_longstay_outlier_perdiem
B67A,"Degenerative Nervous System Disorders, Major Complexity", , ,11.4,3,34,0.05,1.57,,0.0,1.0875,3.2624,0.2632
B67B,"Degenerative Nervous System Disorders, Intermediate Complexity",YES, ,5.3,1,16,0.08,1.31,0.216,,,1.3029,0.2362
B67C,"Degenerative Nervous System Disorders, Minor Complexity", , ,1.2,1,4,0.09,2.0,,,,0.2031,0.1438
B68A,"Multiple Sclerosis and Cerebellar Ataxia, Major Complexity",YES, ,6.8,2,20,0.08,1.82,0.2707,0.0,0.9159,1.8318,0.262
B68B,"Multiple Sclerosis and Cerebellar Ataxia, Minor Complexity", , ,1.1,1,3,0.06,1.96,,,,0.2421,0.1388
B69A,"TIA and Precerebral Occlusion, Major Complexity", , ,5.0,1,15,0.13,1.0,,,,1.3305,0.2379
B69B,"TIA and Precerebral Occlusion, Minor Complexity", , ,1.8,1,5,0.23,1.0,,,,0.4639,0.2557
B70A,"Stroke and Other Cerebrovascular Disorders, Major Complexity", , ,13.2,4,39,0.08,1.0,,0.0,0.9965,3.986,0.2589
B70B,"Stroke and Other Cerebrovascular Disorders, Intermediate Complexity", , ,6.5,2,19,0.1,1.0,,0.0,1.0118,2.0236,0.2553
B70C,"Stroke and Other Cerebrovascular Disorders, Minor Complexity",YES, ,4.0,1,12,0.14,2.0,0.2384,,,1.1788,0.2598
B70D,"Stroke and Other Cerebrovascular Disorders, Transferred < 5 Days", , ,1.9,1,4,0.17,1.0,,,,0.6462,0.2756
B71A,"Cranial and Peripheral Nerve Disorders, Major Complexity",YES, ,5.7,1,17,0.1,1.78,0.1828,,,1.4827,0.2644
B71B,"Cranial and Peripheral Nerve Disorders, Minor Complexity", , ,1.2,1,3,0.12,2.0,,,,0.188,0.1266
B72A,"Nervous System Infection Except Viral Meningitis, Major Complexity", , ,10.1,3,30,0.09,1.32,,0.0,1.0725,3.2174,0.2579
B72B,"Nervous System Infection Except Viral Meningitis, Minor Complexity", , ,2.8,1,9,0.07,2.0,,,,0.5653,0.2368
B73A,"Viral Meningitis, Major Complexity", , ,4.2,1,13,0.11,1.1,,,,1.2666,0.242
B73B,"Viral Meningitis, Minor Complexity", , ,2.4,1,7,0.11,1.31,,,,0.6967,0.2635
B74A,"Nontraumatic Stupor and Coma, Major Complexity", , ,4.3,1,13,0.1,1.0,,,,1.1554,0.2591
B74B,"Nontraumatic Stupor and Coma, Minor Complexity", , ,1.5,1,5,0.11,1.67,,,,0.3386,0.243
B75Z,Febrile Convulsions, , ,1.2,1,4,0.14,1.0,,,,0.3077,0.238
B76A,"Seizures, Major Complexity",YES, ,4.3,1,13,0.09,1.38,0.2126,,,1.2519,0.266
B76B,"Seizures, Minor Complexity", , ,1.5,1,4,0.12,1.76,,,,0.3298,0.2425
B77A,"Headaches, Major Complexity",YES, ,2.9,1,9,0.12,1.47,0.1333,,,0.7757,0.2491
B77B,"Headaches, Minor Complexity", , ,1.2,1,4,0.17,1.85,,,,0.193,0.1305
B78A,"Intracranial Injuries, Major Complexity", , ,9.7,3,29,0.09,1.0,,0.0,0.9503,2.8508,0.25
B78B,"Intracranial Injuries, Minor Complexity", , ,3.2,1,10,0.11,1.17,,,,0.8853,0.2641
B78C,"Intracranial Injuries, Transferred < 5 Days", , ,1.6,1,4,0.14,1.0,,,,0.5117,0.2689
B79A,"Skull Fractures, Major Complexity", , ,5.1,1,15,0.09,1.26,,,,1.3733,0.225
B79B,"Skull Fractures, Minor Complexity", , ,1.6,1,5,0.1,1.55,,,,0.3879,0.2311
B80A,"Other Head Injuries, Major Complexity",YES, ,3.8,1,11,0.12,0.9,0.1398,,,0.8871,0.2188
B80B,"Other Head Injuries, Minor Complexity", , ,1.1,1,3,0.17,0.91,,,,0.1559,0.1179
B81A,"Other Disorders of the Nervous System, Major Complexity",YES, ,8.0,2,24,0.11,1.19,0.6352,0.0,1.0735,2.147,0.239
B81B,"Other Disorders of the Nervous System, Minor Complexity",YES, ,3.3,1,10,0.13,1.72,0.1963,,,0.7932,0.2137
B82A,"Chronic & Unspec Para/Quadriplegia, Major Complexity", , ,14.0,4,42,0.07,1.0,,0.0,1.0506,4.2023,0.2648
B82B,"Chronic & Unspec Para/Quadriplegia, Intermediate Complexity", , ,5.5,1,17,0.06,1.0,,,,1.4735,0.2595
B82C,"Chronic & Unspec Para/Quadriplegia, Minor Complexity", , ,2.8,1,8,0.08,1.0,,,,0.7308,0.2457
B83A,"Acute Paraplegia and Quadriplegia and Spinal Cord Conditions, Major Complexity", , ,16.2,10,24,0.05,1.0,,0.0,0.6033,6.0326,0.2651
B83B,"Acute Paraplegia and Quadriplegia and Spinal Cord Conditions, Interm Comp", , ,6.3,2,19,0.09,1.0,,0.0958,1.1387,2.3731,0.2774
B83C,"Acute Paraplegia and Quadriplegia and Spinal Cord Conditions, Minor Complexity", , ,3.4,1,10,0.13,1.0,,,,0.9966,0.272
C01Z,Interventions for Penetrating Eye Injury, , ,2.3,1,7,0.11,1.36,,,,1.4435,0.4454
C02A,"Enucleations and Orbital Interventions, Major Complexity", , ,6.5,2,19,0.1,1.44,,0.6954,1.3752,3.4458,0.3288
C02B,"Enucleations and Orbital Interventions, Minor Complexity", , ,1.7,1,5,0.26,1.08,,,,1.3062,0.4014
C03A,"Retinal Interventions, Major Complexity", , ,1.4,1,4,0.67,1.4,,,,0.9205,0.3262
C03B,"Retinal Interventions, Minor Complexity", , ,1.0,1,3,0.73,2.0,,,,0.3066,0.1639
C04A,"Major Corneal, Scleral and Conjunctival Interventions, Major Complexity", , ,5.6,1,17,0.35,1.0,,,,2.7574,0.3138
C04B,"Major Corneal, Scleral and Conjunctival Interventions, Minor Complexity", , ,1.4,1,4,0.56,1.0,,,,1.375,0.332
C05Z,Dacryocystorhinostomy, , ,1.1,1,3,0.37,1.08,,,,0.9228,0.3161
C10Z,Strabismus Interventions, , ,1.0,1,3,0.19,1.25,,,,0.7704,0.2712
C11Z,Eyelid Interventions, , ,1.1,1,6,0.22,1.2,,,,0.6751,0.2268
C12A,"Other Corneal, Scleral and Conjunctival Interventions, Major Complexity", , ,3.8,1,11,0.14,1.0,,,,1.4431,0.3058
C12B,"Other Corneal, Scleral and Conjunctival Interventions, Minor Complexity", , ,1.0,1,3,0.32,1.62,,,,0.6055,0.2367
C13Z,Lacrimal Interventions, , ,1.2,1,3,0.16,1.07,,,,0.5034,0.2044
C14A,"Other Eye Interventions, Major Complexity", , ,4.9,1,15,0.04,1.0,,,,1.3633,0.2643
C14B,"Other Eye Interventions, Minor Complexity", , ,1.2,1,4,0.14,1.32,,,,0.4872,0.2435
C15A,"Glaucoma and Complex Cataract Interventions, Major Complexity", , ,3.8,1,12,0.25,0.92,,,,1.7843,0.2847
C15B,"Glaucoma and Complex Cataract Interventions, Minor Complexity", , ,1.2,1,3,0.39,1.91,,,,0.7175,0.2504
C16Z,Lens Interventions, , ,1.0,1,4,0.77,1.98,,,,0.5327,0.2155
C60A,"Acute and Major Eye Infections, Major Complexity", , ,7.0,2,21,0.03,1.0,,0.0,1.1419,2.2837,0.2861
C60B,"Acute and Major Eye Infections, Minor Complexity", , ,2.8,1,9,0.05,1.46,,,,0.7431,0.2827
C61A,"Neurological and Vascular Disorders of the Eye, Major Complexity",YES, ,3.8,1,11,0.13,1.36,0.3003,,,1.0845,0.2495
C61B,"Neurological and Vascular Disorders of the Eye, Minor Complexity",YES, ,2.4,1,7,0.17,1.85,0.1457,,,0.6719,0.2505
C62A,"Hyphaema and Medically Managed Trauma to the Eye, Major Complexity",YES, ,4.1,1,12,0.1,1.38,0.1497,,,1.0317,0.2121
C62B,"Hyphaema and Medically Managed Trauma to the Eye, Minor Complexity", , ,1.2,1,4,0.19,1.85,,,,0.203,0.1349
C63A,"Other Disorders of the Eye, Major Complexity",YES, ,4.2,1,13,0.08,1.32,0.3649,,,1.1548,0.2383
C63B,"Other Disorders of the Eye, Minor Complexity",YES, ,2.3,1,7,0.11,2.0,0.1665,,,0.5941,0.2512
D01Z,Cochlear Implant, , ,1.1,1,3,0.73,1.14,,,,6.7713,1.0363
D02A,"Head and Neck Interventions, Major Complexity", , ,11.4,3,34,0.13,1.0,,1.6298,1.9065,7.3493,0.394
D02B,"Head and Neck Interventions, Intermediate Complexity", , ,4.7,1,14,0.13,1.0,,,,3.7548,0.5044
D02C,"Head and Neck Interventions, Minor Complexity", , ,2.2,1,7,0.12,1.13,,,,1.7633,0.4166
D03A,"Surgical Repair for Cleft Lip and Palate Disorders, Major Complexity", , ,2.5,1,7,0.09,1.0,,,,2.4089,0.4934
D03B,"Surgical Repair for Cleft Lip and Palate Disorders, Minor Complexity", , ,1.8,1,5,0.09,1.16,,,,1.6596,0.3989
D04A,"Maxillo Surgery, Major Complexity", , ,4.1,1,12,0.17,0.92,,,,3.0006,0.4002
D04B,"Maxillo Surgery, Minor Complexity", , ,1.8,1,5,0.19,1.13,,,,1.7846,0.4341
D05Z,Parotid Gland Interventions, , ,2.2,1,7,0.19,1.0,,,,2.4421,0.4335
D06Z,Sinus and Complex Middle Ear Interventions, , ,1.2,1,4,0.25,1.0,,,,1.3285,0.442
D10Z,Nasal Interventions, , ,1.0,1,3,0.18,0.93,,,,1.0,0.3671
D11Z,Tonsillectomy and Adenoidectomy, , ,1.1,1,3,0.15,1.14,,,,0.7398,0.3562
D12A,"Other Ear, Nose, Mouth and Throat Interventions, Major Complexity",YES, ,5.5,1,16,0.11,1.19,0.7158,,,2.2534,0.2749
D12B,"Other Ear, Nose, Mouth and Throat Interventions, Minor Complexity", , ,1.3,1,4,0.17,1.09,,,,0.8179,0.323
D13Z,Myringotomy W Tube Insertion, , ,1.1,1,3,0.21,1.11,,,,0.4478,0.1574
D14A,"Mouth and Salivary Gland Interventions, Major Complexity", , ,2.4,1,7,0.12,1.0,,,,1.3116,0.3203
D14B,"Mouth and Salivary Gland Interventions, Minor Complexity", , ,1.2,1,4,0.13,1.15,,,,0.6694,0.2319
D15Z,Mastoid Interventions, , ,2.2,1,6,0.26,1.0,,,,2.2387,0.3239
D40Z,Dental Extractions and Restorations, , ,1.1,1,3,0.11,1.1,,,,0.6726,0.1787
D60A,"Ear, Nose, Mouth and Throat Malignancy, Major Complexity", , ,8.4,2,25,0.07,1.0,,0.1679,1.41,2.9878,0.2741
D60B,"Ear, Nose, Mouth and Throat Malignancy, Minor Complexity",YES, ,2.4,1,7,0.1,1.77,0.3502,,,0.919,0.2233
D61A,"Dysequilibrium, Major Complexity",YES, ,3.2,1,10,0.13,1.0,0.1079,,,0.8126,0.2203
D61B,"Dysequilibrium, Minor Complexity", , ,1.3,1,4,0.17,1.85,,,,0.2379,0.1762
D62A,"Epistaxis, Major Complexity", , ,3.6,1,11,0.1,1.0,,,,0.9388,0.2633
D62B,"Epistaxis, Minor Complexity", , ,1.3,1,4,0.07,1.13,,,,0.2666,0.1825
D63A,"Otitis Media and Upper Respiratory Infections, Major Complexity",YES, ,3.5,1,10,0.09,1.14,0.1223,,,0.8698,0.2318
D63B,"Otitis Media and Upper Respiratory Infections, Minor Complexity", , ,1.3,1,4,0.09,1.32,,,,0.2588,0.1993
D64A,"Laryngotracheitis and Epiglottitis, Major Complexity", , ,1.7,1,5,0.1,1.2,,,,0.4821,0.2788
D64B,"Laryngotracheitis and Epiglottitis, Minor Complexity", , ,1.1,1,3,0.08,0.9,,,,0.1998,0.1553
D65A,"Nasal Trauma and Deformity, Major Complexity", , ,3.0,1,9,0.12,1.0,,,,0.6832,0.2329
D65B,"Nasal Trauma and Deformity, Minor Complexity", , ,1.1,1,3,0.18,1.26,,,,0.2577,0.1352
D66A,"Other Ear, Nose, Mouth and Throat Disorders, Major Complexity",YES, ,3.8,1,11,0.1,1.19,0.2913,,,0.9489,0.2219
D66B,"Other Ear, Nose, Mouth and Throat Disorders, Minor Complexity", , ,1.2,1,3,0.11,1.54,,,,0.2424,0.1155
D67A,"Oral and Dental Disorders, Major Complexity",YES, ,4.1,1,12,0.07,1.09,0.1974,,,1.1716,0.287
D67B,"Oral and Dental Disorders, Minor Complexity", , ,1.2,1,4,0.16,1.46,,,,0.2624,0.1374
E01A,"Major Chest Interventions, Major Complexity", , ,17.6,11,26,0.11,1.05,,1.4373,0.6179,8.2342,0.295
E01B,"Major Chest Interventions, Intermediate Complexity", , ,9.7,3,29,0.16,1.11,,1.448,1.1063,4.7669,0.2384
E01C,"Major Chest Interventions, Minor Complexity", , ,6.1,2,18,0.19,1.18,,0.5346,1.4273,3.3892,0.236
E02A,"Other Respiratory System GIs, Major Complexity", , ,12.6,4,38,0.12,1.38,,0.6296,1.0603,4.8709,0.2674
E02B,"Other Respiratory System GIs, Intermediate Complexity",YES, ,3.3,1,10,0.18,0.81,0.6915,,,1.8714,0.2924
E02C,"Other Respiratory System GIs, Minor Complexity", , ,1.1,1,3,0.14,1.11,,,,0.787,0.3123
E03Z,Lung or Heart-Lung Transplant, , ,21.2,10,98,0.1,1.0,,4.0316,1.7242,21.2732,0.4939
E40A,"Respiratory System Disorders W Ventilator Support, Major Complexity", , ,8.9,2,27,0.1,1.0,,0.0748,2.4502,4.9752,0.3227
E40B,"Respiratory System Disorders W Ventilator Support, Minor Complexity", , ,4.5,1,13,0.1,0.85,,,,2.7602,0.3056
E41A,"Respiratory System Disorders W Non-Invasive Ventilation, Major Complexity", , ,10.9,3,33,0.08,1.0,,0.0487,1.385,4.2037,0.2924
E41B,"Respiratory System Disorders W Non-Invasive Ventilation, Minor Complexity", , ,5.8,1,17,0.08,0.8,,,,2.0627,0.2769
E42A,"Bronchoscopy, Major Complexity", , ,11.5,3,34,0.09,1.51,,0.3861,1.2104,4.0174,0.2562
E42B,"Bronchoscopy, Intermediate Complexity",YES, ,6.0,1,18,0.13,1.3,0.5568,,,2.0579,0.2607
E42C,"Bronchoscopy, Minor Complexity",YES, ,3.3,1,10,0.23,1.39,0.4529,,,1.3571,0.2396
E60A,"Cystic Fibrosis, Major Complexity", , ,13.7,4,41,0.03,1.37,,0.0,1.2077,4.8309,0.3065
E60B,"Cystic Fibrosis, Minor Complexity", , ,9.3,3,28,0.04,1.33,,0.0,1.1319,3.3957,0.2485
E61A,"Pulmonary Embolism, Major Complexity", , ,6.1,2,18,0.14,1.0,,0.0,0.928,1.856,0.235
E61B,"Pulmonary Embolism, Minor Complexity",YES, ,2.9,1,9,0.17,1.0,0.1737,,,0.7758,0.197
E62A,"Respiratory Infections and Inflammations, Major Complexity", , ,6.0,1,18,0.09,1.0,,,,1.5741,0.2516
E62B,"Respiratory Infections and Inflammations, Minor Complexity",YES, ,3.0,1,9,0.1,0.8,0.1205,,,0.7986,0.2275
E63A,"Sleep Apnoea, Major Complexity", , ,1.8,1,5,0.1,1.4,,,,0.437,0.186
E63B,"Sleep Apnoea, Minor Complexity", , ,1.1,1,3,0.28,1.32,,,,0.2145,0.1105
E64A,"Pulmonary Oedema and Respiratory Failure, Major Complexity", , ,6.3,2,19,0.09,1.0,,0.0,1.0062,2.0124,0.2453
E64B,"Pulmonary Oedema and Respiratory Failure, Minor Complexity", , ,2.6,1,8,0.11,1.0,,,,0.7143,0.2529
E65A,"Chronic Obstructive Airways Disease, Major Complexity", , ,5.7,1,17,0.08,1.0,,,,1.4535,0.2352
E65B,"Chronic Obstructive Airways Disease, Minor Complexity", , ,2.8,1,8,0.09,1.0,,,,0.6496,0.225
E66A,"Major Chest Trauma, Major Complexity", , ,6.6,2,20,0.09,1.0,,0.0,0.9218,1.8436,0.2305
E66B,"Major Chest Trauma, Minor Complexity", , ,2.5,1,8,0.12,1.0,,,,0.6147,0.2527
E67A,"Respiratory Signs and Symptoms, Major Complexity",YES, ,3.2,1,10,0.13,0.86,0.2643,,,0.8853,0.2377
E67B,"Respiratory Signs and Symptoms, Minor Complexity", , ,1.2,1,4,0.12,0.88,,,,0.2489,0.1941
E68A,"Pneumothorax, Major Complexity", , ,5.4,1,16,0.12,1.0,,,,1.5664,0.2857
E68B,"Pneumothorax, Minor Complexity", , ,2.5,1,7,0.12,1.32,,,,0.6403,0.2549
E69A,"Bronchitis and Asthma, Major Complexity", , ,2.8,1,9,0.08,1.2,,,,0.7318,0.2326
E69B,"Bronchitis and Asthma, Minor Complexity", , ,1.3,1,4,0.08,0.84,,,,0.2833,0.2126
E70A,"Whooping Cough and Acute Bronchiolitis, Major Complexity", , ,2.7,1,8,0.05,1.18,,,,0.9697,0.3622
E70B,"Whooping Cough and Acute Bronchiolitis, Minor Complexity", , ,1.6,1,6,0.05,0.9,,,,0.5248,0.3261
E71A,"Respiratory Neoplasms, Major Complexity", , ,8.5,2,25,0.09,1.0,,0.0,1.2172,2.4344,0.248
E71B,"Respiratory Neoplasms, Minor Complexity",YES, ,4.1,1,12,0.14,1.52,0.3203,,,1.0793,0.2353
E72Z,Respiratory Problems Arising from Neonatal Period, , ,2.1,1,5,0.1,0.95,,,,0.5254,0.3314
E73A,"Pleural Effusion, Major Complexity", , ,8.5,2,26,0.12,1.0,,0.0,1.2132,2.4264,0.2528
E73B,"Pleural Effusion, Intermediate Complexity",YES, ,4.7,1,14,0.16,1.0,0.1875,,,1.2447,0.2363
E73C,"Pleural Effusion, Minor Complexity",YES, ,2.9,1,9,0.18,1.0,0.1681,,,0.7846,0.2289
E74A,"Interstitial Lung Disease, Major Complexity", , ,6.5,2,19,0.1,1.0,,0.0,0.8996,1.7992,0.2274
E74B,"Interstitial Lung Disease, Minor Complexity",YES, ,3.7,1,11,0.09,1.0,0.2459,,,0.9573,0.2172
E75A,"Other Respiratory System Disorders, Major Complexity",YES, ,4.1,1,12,0.09,1.31,0.1479,,,1.0586,0.2362
E75B,"Other Respiratory System Disorders, Minor Complexity", , ,1.5,1,4,0.11,0.89,,,,0.2962,0.2157
E76A,"Respiratory Tuberculosis, Major Complexity", , ,13.6,4,41,0.1,1.0,,0.0,1.2215,4.8861,0.2634
E76B,"Respiratory Tuberculosis, Minor Complexity", , ,7.3,2,22,0.1,1.0,,0.0,1.1432,2.2864,0.2374
E77A,"Bronchiectasis, Major Complexity", , ,8.1,2,24,0.09,2.0,,0.0,1.0753,2.1507,0.2363
E77B,"Bronchiectasis, Minor Complexity", , ,4.4,1,13,0.08,1.68,,,,0.9928,0.1955
F01A,"Implantation and Replacement of AICD, Total System, Major Complexity", , ,10.0,3,30,0.55,1.0,,3.2374,1.4804,7.6785,0.2941
F01B,"Implantation and Replacement of AICD, Total System, Minor Complexity",YES, ,2.7,1,8,0.89,1.0,2.7577,,,4.3046,0.2943
F02Z,Other AICD Interventions, , ,4.1,1,12,0.28,1.0,,,,2.9738,0.3966
F03A,"Cardiac Valve Int W CPB Pump W Invasive Cardiac Investigation, Major Complexity", , ,24.8,8,74,0.26,1.0,,5.2562,1.1935,14.8038,0.2708
F03B,"Cardiac Valve Int W CPB Pump W Invasive Cardiac Investigation, Minor Complexity", , ,10.9,3,33,0.26,1.0,,5.3307,1.2779,9.1643,0.2871
F04A,"Cardiac Valve Interventions W CPB Pump W/O Invasive Cardiac Invest, Major Comp", , ,17.5,5,52,0.24,1.23,,4.2368,1.6159,12.3163,0.3025
F04B,"Cardiac Valve Interventions W CPB Pump W/O Invasive Cardiac Invest, Interm Comp", , ,8.5,2,25,0.21,1.0,,5.3313,1.4523,8.2359,0.2763
F04C,"Cardiac Valve Interventions W CPB Pump W/O Invasive Cardiac Invest, Minor Comp", , ,5.9,1,18,0.22,1.05,,,,6.6322,0.2365
F05A,"Coronary Bypass W Invasive Cardiac Investigation, Major Complexity", , ,17.3,5,52,0.18,1.0,,3.218,1.3496,9.9659,0.296
F05B,"Coronary Bypass W Invasive Cardiac Investigation, Minor Complexity", , ,12.0,4,36,0.19,1.0,,2.8869,1.2089,7.7225,0.3026
F06A,"Coronary Bypass W/O Invasive Cardiac Investigation, Major Complexity", , ,12.5,4,37,0.16,1.0,,3.0876,1.2507,8.0906,0.2885
F06B,"Coronary Bypass W/O Invasive Cardiac Investigation, Intermediate Complexity", , ,8.1,2,24,0.18,1.0,,2.7052,1.7315,6.1682,0.2878
F06C,"Coronary Bypass W/O Invasive Cardiac Investigation, Minor Complexity", , ,6.5,2,19,0.21,1.0,,2.5408,1.403,5.3468,0.2458
F07A,"Other Cardiothoracic/Vascular Interventions W CPB Pump, Major Complexity", , ,12.9,4,39,0.12,1.08,,3.0757,1.9967,11.0625,0.4814
F07B,"Other Cardiothoracic/Vascular Interventions W CPB Pump, Intermediate Complexity", , ,7.8,2,23,0.18,1.06,,2.8541,2.2706,7.3952,0.3291
F07C,"Other Cardiothoracic/Vascular Interventions W CPB Pump, Minor Complexity", , ,5.6,1,17,0.19,0.93,,,,5.7142,0.3079
F08A,"Major Reconstructive Vascular Interventions W/O CPB Pump, Major Complexity", , ,16.8,5,51,0.22,1.0,,3.9016,1.2794,10.2984,0.2696
F08B,"Major Reconstructive Vascular Interventions W/O CPB Pump, Interm Complexity", , ,8.2,2,24,0.3,1.0,,2.7856,1.7166,6.2189,0.231
F08C,"Major Reconstructive Vascular Interventions W/O CPB Pump, Minor Complexity", , ,4.6,1,14,0.26,1.0,,,,4.0123,0.291
F09A,"Other Cardiothoracic Interventions W/O CPB Pump, Major Complexity", , ,8.4,2,25,0.16,1.0,,1.5022,1.8791,5.2604,0.3273
F09B,"Other Cardiothoracic Interventions W/O CPB Pump, Minor Complexity", , ,3.0,1,9,0.19,1.0,,,,2.3461,0.3822
F10A,"Interventional Coronary Procedures, Admitted for AMI, Major Complexity", , ,6.8,2,21,0.26,1.0,,0.8818,1.3569,3.5957,0.3073
F10B,"Interventional Coronary Procedures, Admitted for AMI, Minor Complexity", , ,3.1,1,9,0.4,1.0,,,,2.0006,0.3304
F11A,"Amputation, Except Upper Limb and Toe, for Circulatory Disorders, Major Comp", , ,30.5,10,91,0.28,1.0,,1.3935,1.1696,13.0893,0.2862
